<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20161005,8.82,8.82,8.82,8.82,2000,10.40,10.40,10.40,10.40,0,0,0
VIN,20161004,8.83,8.83,8.83,8.82,200,10.40,10.40,10.40,10.40,0,0,0
VIN,20161003,8.49,8.49,8.49,8.49,1000,10.00,10.00,10.00,10.00,0,0,0
VIN,20160927,8.32,8.32,8.32,8.32,100,9.80,9.80,9.80,9.80,0,0,100
VIN,20160921,9.75,9.75,9.75,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160914,8.99,8.99,8.65,8.66,3100,10.60,10.60,10.20,10.20,0,0,0
VIN,20160912,10.18,10.18,10.18,10.18,3200,12.00,12.00,12.00,12.00,0,0,0
VIN,20160909,9.84,9.84,9.84,9.84,500,11.60,11.60,11.60,11.60,0,0,0
VIN,20160822,9.84,9.84,9.84,9.84,1500,11.60,11.60,11.60,11.60,0,0,0
VIN,20160817,9.76,9.84,9.76,9.84,1500,11.50,11.60,11.50,11.60,0,0,0
VIN,20160816,9.75,9.75,9.75,9.76,500,11.50,11.50,11.50,11.50,0,0,0
VIN,20160815,9.33,9.33,9.33,9.33,500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160812,9.34,9.34,9.34,9.33,500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160811,9.50,9.50,9.42,9.42,2800,11.20,11.20,11.10,11.10,0,0,0
VIN,20160809,9.42,9.42,9.42,9.42,300,11.10,11.10,11.10,11.10,0,0,0
VIN,20160808,9.33,9.42,9.33,9.42,2900,11.00,11.10,11.00,11.10,0,0,0
VIN,20160804,9.33,9.59,9.33,9.59,1500,11.00,11.30,11.00,11.30,0,0,0
VIN,20160803,8.91,8.91,8.91,8.91,200,10.50,10.50,10.50,10.50,0,0,0
VIN,20160801,9.34,9.50,9.34,9.50,2500,11.00,11.20,11.00,11.20,0,0,0
VIN,20160728,9.33,9.50,9.33,9.33,2500,11.00,11.20,11.00,11.00,0,0,0
VIN,20160727,9.25,9.25,9.25,9.25,1300,10.90,10.90,10.90,10.90,0,0,0
VIN,20160726,9.33,9.33,9.33,9.33,1500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160721,9.34,9.34,9.25,9.33,2600,11.00,11.00,10.90,11.00,0,0,0
VIN,20160720,9.41,9.41,9.41,9.42,500,11.10,11.10,11.10,11.10,0,0,0
VIN,20160719,9.50,9.50,9.33,9.33,4800,11.20,11.20,11.00,11.00,0,0,0
VIN,20160718,9.50,9.50,9.50,9.50,1400,11.20,11.20,11.20,11.20,0,0,0
VIN,20160715,9.50,9.50,9.50,9.50,1900,11.20,11.20,11.20,11.20,0,0,0
VIN,20160713,9.51,9.51,9.51,9.50,1800,11.20,11.20,11.20,11.20,0,0,0
VIN,20160712,9.59,9.59,9.42,9.59,5400,11.30,11.30,11.10,11.30,0,0,0
VIN,20160711,9.84,9.84,9.84,9.84,100,11.60,11.60,11.60,11.60,0,0,0
VIN,20160708,9.76,9.76,9.76,9.76,600,11.50,11.50,11.50,11.50,0,0,0
VIN,20160707,9.76,9.76,9.76,9.76,900,11.50,11.50,11.50,11.50,0,0,0
VIN,20160706,9.76,9.76,9.76,9.76,900,11.50,11.50,11.50,11.50,0,0,0
VIN,20160704,9.76,9.76,9.76,9.76,600,11.50,11.50,11.50,11.50,0,0,0
VIN,20160630,9.75,9.75,9.75,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160629,9.33,9.33,9.33,9.33,2900,11.00,11.00,11.00,11.00,0,0,0
VIN,20160627,9.33,9.33,9.33,9.33,1000,11.00,11.00,11.00,11.00,0,0,0
VIN,20160621,9.33,9.33,8.23,9.33,1700,11.00,11.00,9.70,11.00,0,0,0
VIN,20160620,9.84,9.84,8.40,8.40,800,11.60,11.60,9.90,9.90,0,0,0
VIN,20160616,9.84,9.84,9.84,9.84,200,11.60,11.60,11.60,11.60,0,0,0
VIN,20160615,9.85,9.85,9.76,9.84,5100,11.60,11.60,11.50,11.60,0,0,0
VIN,20160606,10.61,10.61,10.61,10.61,100,12.50,12.50,12.50,12.50,0,0,0
VIN,20160602,11.03,11.03,11.03,11.03,100,13.00,13.00,13.00,13.00,0,0,0
VIN,20160601,10.18,10.18,10.18,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20160531,10.10,10.10,10.10,10.10,500,11.90,11.90,11.90,11.90,0,0,0
VIN,20160530,10.19,10.19,10.19,10.18,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20160527,10.44,10.44,10.44,10.44,500,12.30,12.30,12.30,12.30,0,0,0
VIN,20160526,10.44,10.44,10.44,10.44,1000,12.30,12.30,12.30,12.30,0,0,0
VIN,20160525,10.53,10.53,10.53,10.52,1000,12.40,12.40,12.40,12.40,0,0,0
VIN,20160524,10.61,10.61,10.61,10.61,1000,12.50,12.50,12.50,12.50,0,0,0
VIN,20160519,10.60,10.69,10.60,10.69,700,12.50,12.60,12.50,12.60,0,0,0
VIN,20160518,9.33,9.33,9.33,9.33,1500,11.00,11.00,11.00,11.00,0,0,0
VIN,20160517,10.86,10.86,10.86,10.86,1000,12.80,12.80,12.80,12.80,0,0,0
VIN,20160516,10.86,10.86,10.19,10.18,1400,12.80,12.80,12.00,12.00,0,0,0
VIN,20160513,10.86,10.86,10.19,10.61,1100,12.80,12.80,12.00,12.50,0,0,0
VIN,20160512,10.86,10.86,10.77,10.78,3200,12.80,12.80,12.70,12.70,0,0,0
VIN,20160510,9.67,10.86,9.67,10.86,3500,11.40,12.80,11.40,12.80,0,0,0
VIN,20160509,11.37,11.37,11.37,11.37,100,13.40,13.40,13.40,13.40,0,0,0
VIN,20160505,11.11,11.11,9.75,9.76,300,13.10,13.10,11.50,11.50,0,0,0
VIN,20160504,9.68,9.68,9.68,9.67,200,11.40,11.40,11.40,11.40,0,0,0
VIN,20160429,9.76,9.76,9.76,9.76,100,11.50,11.50,11.50,11.50,0,0,0
VIN,20160427,9.59,9.84,9.59,9.76,800,11.30,11.60,11.30,11.50,0,200,0
VIN,20160426,9.84,9.84,9.84,9.84,400,11.60,11.60,11.60,11.60,0,0,0
VIN,20160422,9.76,9.76,9.76,9.76,1500,11.50,11.50,11.50,11.50,0,0,0
VIN,20160421,9.59,9.59,9.59,9.59,100,11.30,11.30,11.30,11.30,0,100,0
VIN,20160419,9.67,9.67,9.59,9.59,12000,11.40,11.40,11.30,11.30,0,8000,0
VIN,20160415,9.76,9.76,9.59,9.59,14000,11.50,11.50,11.30,11.30,0,9100,0
VIN,20160414,10.01,10.18,10.01,10.18,2000,11.80,12.00,11.80,12.00,0,0,0
VIN,20160413,9.76,9.92,9.76,9.93,500,12.30,12.50,12.30,12.50,0,0,0
VIN,20160412,10.33,10.33,10.33,10.32,600,13.00,13.00,13.00,13.00,0,0,0
VIN,20160411,10.72,10.72,10.16,10.17,200,13.50,13.50,12.80,12.80,0,0,0
VIN,20160408,9.53,10.64,9.53,10.64,17300,12.00,13.40,12.00,13.40,0,0,0
VIN,20160407,9.53,9.53,9.21,9.21,2000,12.00,12.00,11.60,11.60,0,0,0
VIN,20160406,9.61,9.61,9.53,9.53,2700,12.10,12.10,12.00,12.00,0,0,0
VIN,20160405,9.93,9.93,9.53,9.53,3300,12.50,12.50,12.00,12.00,0,0,0
VIN,20160404,9.53,9.53,9.53,9.53,2000,12.00,12.00,12.00,12.00,0,0,0
VIN,20160401,10.32,10.32,10.16,10.17,9900,13.00,13.00,12.80,12.80,0,0,0
VIN,20160331,11.92,11.92,11.92,11.91,600,15.00,15.00,15.00,15.00,0,0,0
VIN,20160330,10.96,11.35,10.96,11.36,2600,13.80,14.30,13.80,14.30,0,0,0
VIN,20160329,9.21,10.56,9.21,10.56,31200,11.60,13.30,11.60,13.30,0,0,0
VIN,20160328,9.21,9.21,9.05,9.13,2200,11.60,11.60,11.40,11.50,0,0,0
VIN,20160325,9.14,9.14,9.14,9.13,200,11.50,11.50,11.50,11.50,0,0,0
VIN,20160324,9.21,9.21,8.81,8.82,1400,11.60,11.60,11.10,11.10,0,0,0
VIN,20160323,8.10,8.10,8.10,8.10,200,10.20,10.20,10.20,10.20,0,0,0
VIN,20160317,7.94,7.94,7.94,7.94,100,10.00,10.00,10.00,10.00,0,0,0
VIN,20160316,7.15,7.15,7.15,7.15,100,9.00,9.00,9.00,9.00,0,0,100
VIN,20160315,8.18,8.18,8.18,8.18,500,10.30,10.30,10.30,10.30,0,0,0
VIN,20160314,7.15,7.15,7.15,7.15,100,9.00,9.00,9.00,9.00,0,0,100
VIN,20160307,8.10,8.10,8.10,8.10,700,10.20,10.20,10.20,10.20,0,0,0
VIN,20160303,7.70,7.70,7.70,7.70,2900,9.70,9.70,9.70,9.70,0,0,0
VIN,20160226,6.75,6.75,6.75,6.75,100,8.50,8.50,8.50,8.50,0,0,100
VIN,20160219,7.94,7.94,7.94,7.94,2000,10.00,10.00,10.00,10.00,0,0,0
VIN,20160121,7.70,7.70,7.70,7.70,10000,9.70,9.70,9.70,9.70,0,10000,0
VIN,20160113,7.70,7.70,7.70,7.70,5300,9.70,9.70,9.70,9.70,0,5300,0
VIN,20160106,7.94,7.94,7.94,7.94,500,10.00,10.00,10.00,10.00,0,0,0
VIN,20151222,7.94,7.94,7.94,7.94,500,10.00,10.00,10.00,10.00,0,0,0
VIN,20151130,8.10,8.10,8.10,8.10,100,10.20,10.20,10.20,10.20,0,0,0
VIN,20151126,9.53,9.53,9.53,9.53,100,12.00,12.00,12.00,12.00,0,0,0
VIN,20151125,8.34,8.34,8.34,8.34,1300,10.50,10.50,10.50,10.50,0,0,0
VIN,20151112,8.34,8.34,8.34,8.34,500,10.50,10.50,10.50,10.50,0,0,0
VIN,20151109,7.15,8.34,7.15,8.34,200,9.00,10.50,9.00,10.50,0,0,0
VIN,20151028,8.34,8.34,8.34,8.34,100,10.50,10.50,10.50,10.50,0,0,0
VIN,20151026,7.94,7.94,7.94,7.94,200,10.00,10.00,10.00,10.00,0,0,0
VIN,20151019,6.91,6.91,6.91,6.91,100,8.70,8.70,8.70,8.70,0,0,0
VIN,20151013,8.34,8.34,7.94,7.94,2000,10.50,10.50,10.00,10.00,0,0,0
VIN,20151009,8.10,8.10,8.02,8.02,5000,10.20,10.20,10.10,10.10,0,0,0
VIN,20151007,8.18,8.18,8.18,8.18,1000,10.30,10.30,10.30,10.30,0,0,0
VIN,20151002,7.94,7.94,7.94,7.94,100,10.00,10.00,10.00,10.00,0,0,0
VIN,20150914,9.53,9.53,8.34,8.34,8700,12.00,12.00,10.50,10.50,0,0,0
VIN,20150908,8.34,8.34,8.34,8.34,400,10.50,10.50,10.50,10.50,0,0,0
VIN,20150903,8.34,8.34,8.34,8.34,1000,10.50,10.50,10.50,10.50,0,0,0
VIN,20150901,8.18,8.18,8.18,8.18,100,10.30,10.30,10.30,10.30,0,0,0
VIN,20150831,7.94,8.10,7.86,7.86,1400,10.00,10.20,9.90,9.90,0,0,0
VIN,20150828,7.78,7.78,7.78,7.78,500,9.80,9.80,9.80,9.80,0,0,0
VIN,20150827,6.83,6.83,6.83,6.83,100,8.60,8.60,8.60,8.60,0,0,0
VIN,20150824,5.95,5.95,5.95,5.96,2800,7.50,7.50,7.50,7.50,0,0,0
VIN,20150804,5.24,5.24,5.24,5.24,200,6.60,6.60,6.60,6.60,0,0,0
VIN,20150727,5.96,5.96,5.96,5.96,100,7.50,7.50,7.50,7.50,0,0,0
VIN,20150722,6.67,6.67,6.67,6.67,100,8.40,8.40,8.40,8.40,0,0,0
VIN,20150716,7.55,7.55,7.55,7.54,600,9.50,9.50,9.50,9.50,0,0,0
VIN,20150710,8.74,8.74,8.74,8.74,2000,11.00,11.00,11.00,11.00,0,0,0
VIN,20150709,8.74,8.74,8.74,8.74,2000,11.00,11.00,11.00,11.00,0,0,0
VIN,20150701,9.69,9.69,9.69,9.69,1000,12.20,12.20,12.20,12.20,0,0,0
VIN,20150630,9.53,9.53,9.53,9.53,200,12.00,12.00,12.00,12.00,0,0,0
VIN,20150625,9.53,9.53,9.53,9.53,700,12.00,12.00,12.00,12.00,0,0,0
VIN,20150618,9.06,10.01,9.06,10.01,200,11.40,12.60,11.40,12.60,0,0,0
VIN,20150615,10.33,10.33,10.01,10.17,8000,13.00,13.00,12.60,12.80,0,0,0
VIN,20150612,9.93,10.17,9.93,10.17,4100,12.50,12.80,12.50,12.80,0,0,0
VIN,20150611,9.93,9.93,9.93,9.93,3000,12.50,12.50,12.50,12.50,0,0,0
VIN,20150610,10.24,10.24,10.24,10.25,100,12.90,12.90,12.90,12.90,0,0,0
VIN,20150604,9.37,9.37,9.37,9.37,3300,11.80,11.80,11.80,11.80,0,0,0
VIN,20150603,8.57,8.57,8.57,8.58,600,10.80,10.80,10.80,10.80,0,0,0
VIN,20150602,7.87,7.87,7.87,7.86,100,9.90,9.90,9.90,9.90,0,0,0
VIN,20150529,7.15,7.15,7.15,7.15,500,9.00,9.00,9.00,9.00,0,0,0
VIN,20150520,7.07,7.07,7.07,7.07,100,9.90,9.90,9.90,9.90,0,0,0
VIN,20150518,7.78,7.78,7.78,7.78,200,10.90,10.90,10.90,10.90,0,0,0
VIN,20150512,7.64,7.64,7.64,7.64,200,10.70,10.70,10.70,10.70,0,0,0
VIN,20150507,8.35,8.42,8.35,8.42,1200,11.70,11.80,11.70,11.80,0,0,0
VIN,20150506,7.71,7.71,7.71,7.71,100,10.80,10.80,10.80,10.80,0,0,0
VIN,20150505,7.21,8.57,7.21,8.57,900,10.10,12.00,10.10,12.00,0,0,0
VIN,20150504,7.99,7.99,7.99,8.00,500,11.20,11.20,11.20,11.20,0,0,0
VIN,20150422,7.85,7.85,7.21,7.21,1100,11.00,11.00,10.10,10.10,0,0,0
VIN,20150420,7.14,7.14,7.14,7.14,100,10.00,10.00,10.00,10.00,0,0,0
VIN,20150417,7.92,7.92,7.92,7.92,100,11.10,11.10,11.10,11.10,0,0,0
VIN,20150410,7.21,7.21,7.21,7.21,100,10.10,10.10,10.10,10.10,0,0,0
VIN,20150409,7.93,7.93,7.93,7.92,500,11.10,11.10,11.10,11.10,0,0,0
VIN,20150408,8.57,8.57,8.57,8.57,500,12.00,12.00,12.00,12.00,0,0,0
VIN,20150407,7.49,8.63,7.49,8.21,6500,10.50,12.10,10.50,11.50,0,0,0
VIN,20150406,7.85,7.85,7.85,7.85,200,11.00,11.00,11.00,11.00,0,0,0
VIN,20150401,7.35,7.35,7.35,7.35,1700,10.30,10.30,10.30,10.30,0,0,0
VIN,20150331,8.14,8.14,8.14,8.14,200,11.40,11.40,11.40,11.40,0,0,0
VIN,20150327,8.14,8.14,8.14,8.14,600,11.40,11.40,11.40,11.40,0,0,0
VIN,20150326,8.49,8.49,7.85,7.85,2200,11.90,11.90,11.00,11.00,0,0,0
VIN,20150325,8.50,8.50,8.43,8.42,600,11.90,11.90,11.80,11.80,0,0,0
VIN,20150324,8.64,8.71,8.00,8.00,3700,12.10,12.20,11.20,11.20,0,0,0
VIN,20150323,8.71,8.92,8.64,8.64,4300,12.20,12.50,12.10,12.10,0,0,0
VIN,20150320,8.78,8.85,8.57,8.85,500,12.30,12.40,12.00,12.40,0,0,0
VIN,20150319,8.78,8.85,7.42,8.78,10500,12.30,12.40,10.40,12.30,0,0,0
VIN,20150318,7.86,8.21,7.86,8.21,5400,11.00,11.50,11.00,11.50,0,0,0
VIN,20150317,7.29,7.57,7.29,7.57,3200,10.20,10.60,10.20,10.60,0,0,0
VIN,20150316,7.21,7.21,6.78,7.00,2800,10.10,10.10,9.50,9.80,0,0,0
VIN,20150313,6.71,6.71,6.64,6.64,3500,9.40,9.40,9.30,9.30,0,0,0
VIN,20150311,6.78,6.78,6.78,6.78,1000,9.50,9.50,9.50,9.50,0,0,0
VIN,20150310,6.64,6.64,6.64,6.64,200,9.30,9.30,9.30,9.30,0,0,0
VIN,20150306,6.64,6.64,6.64,6.64,1300,9.30,9.30,9.30,9.30,0,0,0
VIN,20150305,6.64,6.64,6.21,6.21,1700,9.30,9.30,8.70,8.70,0,0,0
VIN,20150302,6.57,6.79,6.57,6.78,800,9.20,9.50,9.20,9.50,0,0,0
VIN,20150227,6.35,6.50,6.35,6.50,600,8.90,9.10,8.90,9.10,0,0,0
VIN,20150226,6.42,6.42,6.14,6.14,1100,9.00,9.00,8.60,8.60,0,0,0
VIN,20150225,6.22,6.22,6.22,6.21,5500,8.70,8.70,8.70,8.70,0,0,0
VIN,20150224,6.43,6.43,6.43,6.43,80,9.00,9.00,9.00,9.00,0,0,0
VIN,20150212,6.43,6.43,6.43,6.43,200,9.00,9.00,9.00,9.00,0,0,0
VIN,20150211,6.42,6.42,6.42,6.43,1080,9.00,9.00,9.00,9.00,0,0,0
VIN,20150209,6.35,6.35,6.35,6.35,500,8.90,8.90,8.90,8.90,0,0,0
VIN,20150206,6.42,6.42,6.35,6.35,3600,9.00,9.00,8.90,8.90,0,0,0
VIN,20150127,6.35,6.42,6.35,6.43,900,8.90,9.00,8.90,9.00,0,0,0
VIN,20150122,6.28,6.42,6.28,6.43,1000,8.80,9.00,8.80,9.00,0,0,0
VIN,20150121,6.28,6.28,6.28,6.28,100,8.80,8.80,8.80,8.80,0,0,0
VIN,20150116,6.57,6.57,6.57,6.57,200,9.20,9.20,9.20,9.20,0,0,0
VIN,20150114,6.57,6.57,6.57,6.57,100,9.20,9.20,9.20,9.20,0,0,0
VIN,20150108,6.85,6.85,6.21,6.21,200,9.60,9.60,8.70,8.70,0,100,0
VIN,20150105,6.85,6.85,6.85,6.85,800,9.60,9.60,9.60,9.60,0,0,0
VIN,20141231,6.43,7.14,6.43,7.14,700,9.00,10.00,9.00,10.00,0,0,100
VIN,20141230,6.00,7.07,6.00,7.07,500,8.40,9.90,8.40,9.90,0,0,100
VIN,20141229,6.64,6.64,6.64,6.64,100,9.30,9.30,9.30,9.30,0,0,0
VIN,20141226,6.07,6.07,6.07,6.07,500,8.50,8.50,8.50,8.50,0,0,0
VIN,20141217,6.43,6.57,6.07,6.07,13700,9.00,9.20,8.50,8.50,4000,0,0
VIN,20141216,6.43,6.43,6.43,6.43,1000,9.00,9.00,9.00,9.00,0,0,0
VIN,20141211,6.43,6.43,6.43,6.43,900,9.00,9.00,9.00,9.00,0,0,0
VIN,20141210,6.43,6.43,6.43,6.43,900,9.00,9.00,9.00,9.00,0,0,0
VIN,20141209,6.07,6.07,6.07,6.07,100,8.50,8.50,8.50,8.50,0,0,0
VIN,20141205,6.00,6.00,6.00,6.00,200,8.40,8.40,8.40,8.40,0,0,0
VIN,20141203,5.49,5.49,5.49,5.50,1000,7.70,7.70,7.70,7.70,0,0,0
VIN,20141202,5.28,5.28,5.28,5.28,100,7.40,7.40,7.40,7.40,0,0,0
VIN,20141125,5.85,5.85,5.85,5.85,100,8.20,8.20,8.20,8.20,0,0,0
VIN,20141121,5.78,5.78,5.78,5.78,100,8.10,8.10,8.10,8.10,0,0,0
VIN,20141119,5.85,5.85,5.78,5.78,10000,8.20,8.20,8.10,8.10,0,6900,0
VIN,20141118,6.35,6.35,6.35,6.35,100,8.90,8.90,8.90,8.90,0,0,0
VIN,20141117,5.78,5.78,5.78,5.78,6100,8.10,8.10,8.10,8.10,0,0,0
VIN,20141113,6.36,6.36,5.71,5.71,14000,8.90,8.90,8.00,8.00,0,7700,0
VIN,20141112,5.79,6.50,5.72,6.50,2100,8.10,9.10,8.00,9.10,0,1000,0
VIN,20141107,5.85,6.28,5.85,6.28,1100,8.20,8.80,8.20,8.80,0,0,0
VIN,20141106,5.92,5.92,5.71,5.71,8700,8.30,8.30,8.00,8.00,0,7700,0
VIN,20141031,5.78,5.78,5.78,5.78,5000,8.10,8.10,8.10,8.10,0,5000,0
VIN,20141030,5.79,5.79,5.79,5.78,100,8.10,8.10,8.10,8.10,0,0,0
VIN,20141021,6.71,6.71,6.42,6.43,9900,9.40,9.40,9.00,9.00,0,0,0
VIN,20141016,6.78,6.78,6.78,6.78,100,9.50,9.50,9.50,9.50,0,0,0
VIN,20141014,6.78,6.78,6.78,6.78,100,9.50,9.50,9.50,9.50,0,0,0
VIN,20141013,6.92,6.92,6.78,6.78,700,9.70,9.70,9.50,9.50,0,0,0
VIN,20141010,6.85,6.85,6.85,6.85,1000,9.60,9.60,9.60,9.60,0,0,0
VIN,20141009,6.78,6.78,6.78,6.78,10000,9.50,9.50,9.50,9.50,0,0,0
VIN,20141008,6.78,6.78,6.78,6.78,300,9.50,9.50,9.50,9.50,0,0,0
VIN,20141007,6.93,6.93,6.85,6.85,1500,9.70,9.70,9.60,9.60,0,0,0
VIN,20141006,7.14,7.14,7.14,7.14,200,10.00,10.00,10.00,10.00,0,0,0
VIN,20141003,7.14,7.14,7.14,7.14,300,10.00,10.00,10.00,10.00,0,0,0
VIN,20141002,6.64,6.64,6.64,6.64,200,9.30,9.30,9.30,9.30,0,0,0
VIN,20141001,5.71,6.42,5.71,6.43,500,8.00,9.00,8.00,9.00,0,0,0
VIN,20140930,6.28,6.28,6.28,6.28,300,8.80,8.80,8.80,8.80,0,0,0
VIN,20140918,5.71,5.71,5.71,5.71,100,8.00,8.00,8.00,8.00,0,100,0
VIN,20140916,5.78,5.78,5.78,5.78,100,8.10,8.10,8.10,8.10,0,100,0
VIN,20140915,6.22,6.22,6.14,6.14,10100,8.70,8.70,8.60,8.60,0,7200,0
VIN,20140912,6.42,6.42,6.42,6.43,1000,9.00,9.00,9.00,9.00,0,1000,0
VIN,20140911,6.78,6.78,6.78,6.78,6700,9.50,9.50,9.50,9.50,0,6500,0
VIN,20140910,7.14,7.14,7.14,7.14,6200,10.00,10.00,10.00,10.00,0,6200,0
VIN,20140909,7.49,7.49,7.49,7.50,5900,10.50,10.50,10.50,10.50,0,0,0
VIN,20140905,7.85,7.85,7.85,7.85,6300,11.00,11.00,11.00,11.00,0,0,0
VIN,20140904,7.85,7.85,7.85,7.85,200,11.00,11.00,11.00,11.00,0,0,0
